eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.session.closed,2021-02-12 11:08:58.945771+00:00,46.101.170.78,,d05de82095ee,355.95035886764526
cowrie.session.connect,2021-02-12 11:08:58.946718+00:00,46.101.170.78,155.232.195.82,cd2aa4003ab2,
cowrie.session.connect,2021-02-12 11:08:58.948176+00:00,46.101.170.78,155.232.195.82,691a5f1d4654,
cowrie.session.connect,2021-02-12 11:08:58.949282+00:00,46.101.170.78,155.232.195.82,a7179f448d20,
cowrie.session.connect,2021-02-12 11:08:58.950377+00:00,46.101.170.78,155.232.195.82,6d138bde5900,
cowrie.session.connect,2021-02-12 11:08:58.951477+00:00,46.101.170.78,155.232.195.82,bf904278d986,
cowrie.session.connect,2021-02-12 11:08:58.952581+00:00,46.101.170.78,155.232.195.82,af350c6f9510,
cowrie.session.connect,2021-02-12 11:08:58.953674+00:00,205.185.126.143,155.232.195.83,3376a517d60b,
cowrie.session.connect,2021-02-12 11:08:58.954770+00:00,162.142.125.55,155.232.195.82,a7410bde0be3,
cowrie.session.connect,2021-02-12 11:08:58.955860+00:00,162.142.125.55,155.232.195.82,663bb7640bc7,
cowrie.session.connect,2021-02-12 11:08:58.956957+00:00,162.142.125.55,155.232.195.82,23f771069d51,
cowrie.session.connect,2021-02-12 11:08:58.958086+00:00,162.142.125.55,155.232.195.82,892617992853,
cowrie.session.connect,2021-02-12 11:08:58.959176+00:00,162.142.125.55,155.232.195.82,8fa3b0059694,
cowrie.session.connect,2021-02-12 11:08:58.960285+00:00,205.185.126.143,155.232.195.82,955125b93275,
cowrie.session.file_download.failed,2021-02-12 11:08:58.961944+00:00,46.101.170.78,,f5340c2af215,
cowrie.session.file_download.failed,2021-02-12 11:09:49.189061+00:00,46.101.170.78,,f5340c2af215,
cowrie.log.closed,2021-02-12 11:09:49.192626+00:00,46.101.170.78,,673e50040790,404.18289613723755
cowrie.session.closed,2021-02-12 11:09:49.194431+00:00,46.101.170.78,,673e50040790,406.1978886127472
cowrie.log.closed,2021-02-12 11:09:49.195921+00:00,46.101.170.78,,cce20dc708e8,403.9962511062622
cowrie.session.closed,2021-02-12 11:09:49.197308+00:00,46.101.170.78,,cce20dc708e8,406.195232629776
